"Result","row.name","b"
"result.1","b+b","1"
"","",""
"Result","row.name","bb"
"result.2","b+bb","1"
"","",""
"Result","row.name","c"
"result.3","k+c","0.75"
"result.3","s+c","0.25"
"","",""
"Result","row.name","d"
"result.4","d+d","1"
"","",""
"Result","row.name","dd"
"result.5","d+dd","1"
"","",""
"Result","row.name","e"
"result.6","ə+e","0.5"
"result.6","ɚ+e","0.5"
"","",""
"Result","row.name","f"
"result.7","f+f","1"
"","",""
"Result","row.name","g"
"result.8","g+g","1"
"","",""
"Result","row.name","k"
"result.9","k+k","1"
"","",""
"Result","row.name","l"
"result.10","l+l","1"
"","",""
"Result","row.name","ll"
"result.11","l+ll","1"
"","",""
"Result","row.name","m"
"result.12","m+m","1"
"","",""
"Result","row.name","mm"
"result.13","m+mm","1"
"","",""
"Result","row.name","n"
"result.14","n+n","1"
"","",""
"Result","row.name","nn"
"result.15","n+nn","1"
"","",""
"Result","row.name","o"
"result.16","ə+o","1"
"","",""
"Result","row.name","p"
"result.17","p+p","1"
"","",""
"Result","row.name","ph"
"result.18","f+ph","1"
"","",""
"Result","row.name","pp"
"result.19","p+pp","1"
"","",""
"Result","row.name","r"
"result.20","r+r","1"
"","",""
"Result","row.name","rr"
"result.21","r+rr","1"
"","",""
"Result","row.name","s"
"result.22","s+s","1"
"","",""
"Result","row.name","ss"
"result.23","s+ss","0.5"
"result.23","z+ss","0.5"
"","",""
"Result","row.name","t"
"result.24","t+t","1"
"","",""
"Result","row.name","tch"
"result.25","tʃ+tch","1"
"","",""
"Result","row.name","th"
"result.26","ð+th","0.5"
"result.26","θ+th","0.5"
"","",""
"Result","row.name","tt"
"result.27","t+tt","1"
"","",""
"Result","row.name","y"
"result.28","j+y","1"
"","",""
"Result","row.name","z"
"result.29","s+z","1"
"","",""
